Code	Birthyear	Gender	Village	Language	Region	Researcher	MM.YYYY	Latitude	Longitude
Zilo1	2002	F	Zilo	Andi	Botlikh	GM	8.2018	42.731394	46.319223
Zilo2	1958	M	Zilo	Andi	Botlikh	SV	7.2017	42.731394	46.319223
Rikvani1	1940	M	Rikvani	Andi	Botlikh	SV	7.2017	42.782304	46.319372
Botlikh1	mixed	M	Botlikh	Botlikh	Botlikh	SV	7.2017	42.667813	46.221451
Kusur1	unknown	M	Kusur	Avar	Rutul	MA	7.2017	41.781293	46.949207
Darvag1	1975	M	Darvag	North Azerbaijani	Tabasaran	SV	7.2018	42.022285	48.065912
Yersi1	1949	M	Yersi	North Azerbaijani	Tabasaran	SV	7.2018	42.018844	48.012897
Arkhit1	1930	M	Arkhit	Lezgian	Khiv	SV	7.2018	41.7405	47.95878
Dyubek1	1938	M	Dyubek	Tabasaran	Tabasaran	SV	7.2018	42.0208	47.969528
Dyubek2	1987	M	Dyubek	Tabasaran	Tabasaran	SV	7.2018	42.0208	47.969528
Dyubek3	1989	M	Dyubek	Tabasaran	Tabasaran	SV	7.2018	42.0208	47.969528
Dzhavgat1	1995/2006	M	Dzhavgat	Kajtak	Tabasaran	SV	7.2018	42.0506	47.9375
Dzhibakhni1	1950	M	Dzhibakhni	Kajtak	Tabasaran	SV	7.2018	42.06051	47.90847
Laka1	1953	M	Laka	Tabasaran	Khiv	SV	7.2018	41.75705	47.88114
Tsinit1	1945	M	Tsinit	Lezgian	Khiv	SV	7.2018	41.72324	48.00882
Khapil1	1938	M	Khapil	Tabasaran	Tabasaran	SV	7.2018	41.98722	47.97731
Yagdyg2	1934	M	Yagdyg	Tabasaran	Tabasaran	SV	7.2018	41.980115	47.970578
